Year,Value,UNIT_MEASURE,SERIES
2013.0,4.2,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2014.0,3.7,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2015.0,4.3,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2016.0,3.1,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2017.0,2.3,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2018.0,2.2,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2019.0,2.4,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2020.0,1.7,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2021.0,1.0,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
2022.0,1.4,На 100.000 становника,Учесталост туберкулозе (на 100.000 становника)
,,,
