Year,Value,UNIT_MEASURE,SERIES
2013,57.4,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2014,60.4,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2015,63.5,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2016,64.8,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2017,65.3,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2018,67.1,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2019,71.2,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2020,71.3,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2021,70.9,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
2022,71.9,Број,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника
