Year,SERIES,UNIT_MEASURE,Spol,Value
2013.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,5.4
2014.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,5.6
2015.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,5.0
2016.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,5.9
2017.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,4.7
2018.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,5.0
2019.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,4.7
2020.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,4.3
2021.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,4.1
2022.0,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,3.0
,,,,
