Year,SERIES,Podjela,Value
2015.0,Željeznički prijevoz,"Tonski kilometri, mil.",835.0
2016.0,Željeznički prijevoz,"Tonski kilometri, mil.",768.0
2017.0,Željeznički prijevoz,"Tonski kilometri, mil.",730.0
2018.0,Željeznički prijevoz,"Tonski kilometri, mil.",807.0
2019.0,Željeznički prijevoz,"Tonski kilometri, mil.",856.0
2020.0,Željeznički prijevoz,"Tonski kilometri, mil.",667.0
2021.0,Željeznički prijevoz,"Tonski kilometri, mil.",801.0
2022.0,Željeznički prijevoz,"Tonski kilometri, mil.",834.0
2023.0,Željeznički prijevoz,"Tonski kilometri, mil.",890.0
2013.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",20.008
2014.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",12.005
2015.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",10.975
2016.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",10.552
2017.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",9.48
2018.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",8.232
2019.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",7.673
2020.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",4.119
2021.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",5.441
2022.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",6.231
2023.0,Cestovni prijevoz,"Prevezeni putnici, hilj.",6.067
2013.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.279
2014.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.227
2015.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.292
2016.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.326
2017.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.245
2018.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.322
2019.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.39
2020.0,Cestovni prijevoz,"Putnički kilometri, mil.",535.0
2021.0,Cestovni prijevoz,"Putnički kilometri, mil.",713.0
2022.0,Cestovni prijevoz,"Putnički kilometri, mil.",1021.0
2023.0,Cestovni prijevoz,"Putnički kilometri, mil.",1.067
2013.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",4.164
2014.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",4.686
2015.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",5.77
2016.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",5.855
2017.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",6.103
2018.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",6.254
2019.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",6.325
2020.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",5.849
2021.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",6.022
2022.0,Cestovni prijevoz,"Prevezena roba, hilj. tona",6.645
