Year,SERIES,UNIT_MEASURE,Podjela,Value
2013,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,57.4
2014,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,60.4
2015,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,63.5
2016,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,64.8
2017,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,65.3
2018,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,67.1
2019,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,71.2
2020,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,71.3
2021,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,70.9
2022,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,,71.9
2013,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1012.0
2014,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1072.0
2015,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1133.0
2016,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1161.0
2017,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1172.0
2018,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1207.0
2019,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1281.0
2020,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1285.0
2021,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1270.0
2022,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Broj,Ukupno,1284.0
2013,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,32.9
2014,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,32.2
2015,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,31.2
2016,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,30.7
2017,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,30.8
2018,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,30.5
2019,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,29.6
2020,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,29.5
2021,Broj filijala komercijalnih banaka na 100 000 odraslih,Broj,Banke sa sjedištem u Federaciji BiH,29.4
