Year,SERIES,UNIT_MEASURE,Podjela,Value
2011,Problemi domaćinstva sa stambenom jedinicom,Procenat,Truli prozorski okviri ili vrata,8.6
2015,Problemi domaćinstva sa stambenom jedinicom,Procenat,Truli prozorski okviri ili vrata,7.0
2021/22,Problemi domaćinstva sa stambenom jedinicom,Procenat,Truli prozorski okviri ili vrata,3.7
2011,Problemi domaćinstva sa stambenom jedinicom,Procenat,Vlaga u podovima zidovima i temeljima,8.1
2015,Problemi domaćinstva sa stambenom jedinicom,Procenat,Vlaga u podovima zidovima i temeljima,5.9
2021/22,Problemi domaćinstva sa stambenom jedinicom,Procenat,Vlaga u podovima zidovima i temeljima,6.5
2011,Problemi domaćinstva sa stambenom jedinicom,Procenat,Krov prokišnjava,7.9
2015,Problemi domaćinstva sa stambenom jedinicom,Procenat,Krov prokišnjava,5.3
2021/22,Problemi domaćinstva sa stambenom jedinicom,Procenat,Krov prokišnjava,2.3
2011,Problemi domaćinstva sa stambenom jedinicom,Procenat,Imaju problema sa bukom,7.6
2015,Problemi domaćinstva sa stambenom jedinicom,Procenat,Imaju problema sa bukom,7.5
2021/22,Problemi domaćinstva sa stambenom jedinicom,Procenat,Imaju problema sa bukom,3.8
,,,,
