Year,SERIES,UNIT_MEASURE,Value
2013.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.246
2014.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.247
2015.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.243
2016.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.241
2017.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.241
2018.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.236
2019.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.234
2020.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.234
2021.0,Površina državnog šumskog zemljišta,Hiljade hektara,1.241
2013.0,Površina privatnih šuma,Hiljade hektara,277.0
2014.0,Površina privatnih šuma,Hiljade hektara,277.0
2015.0,Površina privatnih šuma,Hiljade hektara,277.0
2016.0,Površina privatnih šuma,Hiljade hektara,277.0
2017.0,Površina privatnih šuma,Hiljade hektara,277.0
2018.0,Površina privatnih šuma,Hiljade hektara,277.0
2019.0,Površina privatnih šuma,Hiljade hektara,277.0
2020.0,Površina privatnih šuma,Hiljade hektara,277.0
2021.0,Površina privatnih šuma,Hiljade hektara,277.0
2014.0,Zaštićene površine u FBiH,Hektar,74718.7
2015.0,Zaštićene površine u FBiH,Hektar,79693.5
2016.0,Zaštićene površine u FBiH,Hektar,79693.5
2017.0,Zaštićene površine u FBiH,Hektar,79854.4
2018.0,Zaštićene površine u FBiH,Hektar,79854.4
2019.0,Zaštićene površine u FBiH,Hektar,98621.3
2020.0,Zaštićene površine u FBiH,Hektar,103875.7
2021.0,Zaštićene površine u FBiH,Hektar,103900.0
,,,
,,,
