Year,SERIES,UNIT_MEASURE,Value
2012.0,Generisani opasni otpad (tone),Tone,8.039
2014.0,Generisani opasni otpad (tone),Tone,6.617
2016.0,Generisani opasni otpad (tone),Tone,9.726
2018.0,Generisani opasni otpad (tone),Tone,8.987
2020.0,Generisani opasni otpad (tone),Tone,5.756
2012.0,"Generisani  otpad, isključujući glavni mineralni otpad",Kilogram po stanovniku,1452.8
2014.0,"Generisani  otpad, isključujući glavni mineralni otpad",Kilogram po stanovniku,1616.3
2016.0,"Generisani  otpad, isključujući glavni mineralni otpad",Kilogram po stanovniku,2472.6
2018.0,"Generisani  otpad, isključujući glavni mineralni otpad",Kilogram po stanovniku,11534.0
2020.0,"Generisani  otpad, isključujući glavni mineralni otpad",Kilogram po stanovniku,1543.9
2013.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,284.0
2014.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,296.0
2015.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,296.0
2016.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,290.0
2017.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,284.0
2018.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,284.0
2019.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,291.0
2020.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,280.0
2021.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,282.0
2022.0,Otpad nastao u  ekonomskim djelatnostima,Kilogram po stanovniku,284.0
,,,
