Year,Value,UNIT_MEASURE,SERIES
2013.0,2.871,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2014.0,2.844,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2015.0,3.424,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2016.0,52.823,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2017.0,52.438,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2018.0,51.214,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2019.0,54.04,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2020.0,48.613,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
2021.0,35.982,(hilj./tis.m3),Prečišćene otpadne komunalne vode (hilj./tis.m3)
,,,
,,,
