Year,Value,UNIT_MEASURE,SERIES
2013.0,0.21,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2014.0,0.27,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2015.0,0.2,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2016.0,0.21,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2017.0,0.19,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2018.0,0.18,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2019.0,0.21,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2020.0,0.22,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2021.0,0.19,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
2022.0,0.19,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u za FBiH
,,,
