Year,Value,UNIT_MEASURE,SERIES
2012.0,8.039,Tone,Generisani opasni otpad (tone)
2014.0,6.617,Tone,Generisani opasni otpad (tone)
2016.0,9.726,Tone,Generisani opasni otpad (tone)
2018.0,8.987,Tone,Generisani opasni otpad (tone)
2020.0,5.756,Tone,Generisani opasni otpad (tone)
2012.0,1452.8,Kilogram po stanovniku,"Generisani  otpad, isključujući glavni mineralni otpad"
2014.0,1616.3,Kilogram po stanovniku,"Generisani  otpad, isključujući glavni mineralni otpad"
2016.0,2472.6,Kilogram po stanovniku,"Generisani  otpad, isključujući glavni mineralni otpad"
2018.0,11534.0,Kilogram po stanovniku,"Generisani  otpad, isključujući glavni mineralni otpad"
2020.0,1543.9,Kilogram po stanovniku,"Generisani  otpad, isključujući glavni mineralni otpad"
2013.0,284.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2014.0,296.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2015.0,296.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2016.0,290.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2017.0,284.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2018.0,284.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2019.0,291.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2020.0,280.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2021.0,282.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
2022.0,284.0,Kilogram po stanovniku,Otpad nastao u  ekonomskim djelatnostima
,,,
