Year,Value,UNIT_MEASURE,SERIES
2013.0,57.4,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2014.0,60.4,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2015.0,63.5,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2016.0,64.8,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2017.0,65.3,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2018.0,67.1,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2019.0,71.2,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2020.0,71.3,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2021.0,70.9,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
2022.0,71.9,Broj,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,Broj,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
