Year,Value,UNIT_MEASURE,SERIES
2011-2012,9.9,,SN_ITK_GROW
2011-2012,4.6,,SN_ITK_GROWW
2003,0.1,,Number of undernourish people
2001,3.2,,Prevalence of undernourishment
2002,3.0,,Prevalence of undernourishment
2003,2.6,,Prevalence of undernourishment
2004,2.5,,Prevalence of undernourishment
2005,2.5,,Prevalence of undernourishment
2006,2.5,,Prevalence of undernourishment
2007,2.5,,Prevalence of undernourishment
2008,2.5,,Prevalence of undernourishment
2009,2.5,,Prevalence of undernourishment
2010,2.5,,Prevalence of undernourishment
2011,2.5,,Prevalence of undernourishment
2012,2.5,,Prevalence of undernourishment
2013,2.5,,Prevalence of undernourishment
2014,2.5,,Prevalence of undernourishment
2015,2.5,,Prevalence of undernourishment
2016,2.5,,Prevalence of undernourishment
2017,2.5,,Prevalence of undernourishment
2018,2.5,,Prevalence of undernourishment
2019,2.5,,Prevalence of undernourishment
2020,2.5,,Prevalence of undernourishment
