Year,SERIES,UNIT_MEASURE,SORT,Value
2013,EN_REF_GEN_W,TONNES,TOT_WASTE,629.455
2014,EN_REF_GEN_W,TONNES,TOT_WASTE,653.895
2015,EN_REF_GEN_W,TONNES,TOT_WASTE,657.499
2016,EN_REF_GEN_W,TONNES,TOT_WASTE,640.064
2017,EN_REF_GEN_W,TONNES,TOT_WASTE,623.753
2018,EN_REF_GEN_W,TONNES,TOT_WASTE,624.658
2019,EN_REF_GEN_W,TONNES,TOT_WASTE,637.597
2020,EN_REF_GEN_W,TONNES,TOT_WASTE,611.857
2021,EN_REF_GEN_W,TONNES,TOT_WASTE,612.373
2022,EN_REF_GEN_W,TONNES,TOT_WASTE,612.073
2013,EN_REF_GEN_W,TONNES,TREAT_WASTE,226
2014,EN_REF_GEN_W,TONNES,TREAT_WASTE,221
2015,EN_REF_GEN_W,TONNES,TREAT_WASTE,714
2016,EN_REF_GEN_W,TONNES,TREAT_WASTE,790
2017,EN_REF_GEN_W,TONNES,TREAT_WASTE,792
2018,EN_REF_GEN_W,TONNES,TREAT_WASTE,898
2019,EN_REF_GEN_W,TONNES,TREAT_WASTE,3.927
2020,EN_REF_GEN_W,TONNES,TREAT_WASTE,6.777
2021,EN_REF_GEN_W,TONNES,TREAT_WASTE,4.301
2022,EN_REF_GEN_W,TONNES,TREAT_WASTE,4.088
2013,EN_REF_GEN_W,TONNES,SH_TR_W,0.0
2014,EN_REF_GEN_W,TONNES,SH_TR_W,0.0
2015,EN_REF_GEN_W,TONNES,SH_TR_W,0.1
2016,EN_REF_GEN_W,TONNES,SH_TR_W,0.1
2017,EN_REF_GEN_W,TONNES,SH_TR_W,0.1
2018,EN_REF_GEN_W,TONNES,SH_TR_W,0.1
2019,EN_REF_GEN_W,TONNES,SH_TR_W,0.6
2020,EN_REF_GEN_W,TONNES,SH_TR_W,1.1
2021,EN_REF_GEN_W,TONNES,SH_TR_W,0.7
2022,EN_REF_GEN_W,TONNES,SH_TR_W,0.7
,,,,
,,,,
