Year,SERIES,UNIT_MEASURE,AGE,Value
2012,SH_PRV_SMOK18,PT,Y18T24,58.50
2012,SH_PRV_SMOK18,PT,Y25T34,61.20
2012,SH_PRV_SMOK18,PT,Y35T44,66.70
2012,SH_PRV_SMOK18,PT,Y45T54,60.10
2012,SH_PRV_SMOK18,PT,Y55T64,49.40
2012,SH_PRV_SMOK18,PT,Y_GE65,30.50
2002,SH_PRV_SMOK18,PT,Y25T64,37.60
2012,SH_PRV_SMOK18,PT,Y25T64,49.50
,,,,
,,,,
,,,,
,,,,
,,,,
