Year,SERIES,UNIT_MEASURE,SORT,Value
2017,EN_CO2_BIH,,E_CO2_CAP,6.9
2018,EN_CO2_BIH,,E_CO2_CAP,6.9
2019,EN_CO2_BIH,,E_CO2_CAP,6.5
2020,EN_CO2_BIH,,E_CO2_CAP,6.4
2021,EN_CO2_BIH,,E_CO2_CAP,4.4
2017,EN_CO2_BIH,,E_GHG,9.0
2018,EN_CO2_BIH,,E_GHG,9.1
2019,EN_CO2_BIH,,E_GHG,8.7
2020,EN_CO2_BIH,,E_GHG,8.6
2021,EN_CO2_BIH,,E_GHG,8.4
2014,EN_VEH_15,PT,VEH_OVER_15,43.3
2015,EN_VEH_15,PT,VEH_OVER_15,44.3
2016,EN_VEH_15,PT,VEH_OVER_15,49.1
2017,EN_VEH_15,PT,VEH_OVER_15,52.4
2018,EN_VEH_15,PT,VEH_OVER_15,54.2
2019,EN_VEH_15,PT,VEH_OVER_15,55.2
2020,EN_VEH_15,PT,VEH_OVER_15,57.7
2021,EN_VEH_15,PT,VEH_OVER_15,59.5
2022,EN_VEH_15,PT,VEH_OVER_15,60.7
2014,EN_VEH_EV,PT,VEH_EV,1.38
2015,EN_VEH_EV,PT,VEH_EV,1.56
2016,EN_VEH_EV,PT,VEH_EV,1.78
2017,EN_VEH_EV,PT,VEH_EV,2.08
2018,EN_VEH_EV,PT,VEH_EV,2.27
2019,EN_VEH_EV,PT,VEH_EV,2.33
2020,EN_VEH_EV,PT,VEH_EV,2.36
2021,EN_VEH_EV,PT,VEH_EV,2.30
2022,EN_VEH_EV,PT,VEH_EV,2.27
,,,,
