Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2004,SI_POV_NAHC,PT,_T,18.8
2007,SI_POV_NAHC,PT,_T,17.0
2011,SI_POV_NAHC,PT,_T,17.1
2015,SI_POV_NAHC,PT,_T,17.1
2004,SI_POV_DAHC,PT,_T,18.3
2007,SI_POV_DAHC,PT,_T,16.3
2011,SI_POV_DAHC,PT,_T,16.0
2015,SI_POV_DAHC,PT,_T,16.0
