Year,SERIES,Value
2013,NY_GDP_CCPV,8.052
2014,NY_GDP_CCPV,8.181
2015,NY_GDP_CCPV,8.452
2016,NY_GDP_CCPV,8.721
2017,NY_GDP_CCPV,9.023
2018,NY_GDP_CCPV,9.386
2019,NY_GDP_CCPV,9.679
2020,NY_GDP_CCPV,9.357
2021,NY_GDP_CCPV,10.194
2022,NY_GDP_CCPV,10.675
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
