Year,SERIES,UNIT_MEASURE,AGE,Value
2011-2012,SN_STA_OVWGT,PT,Y0T4,17.7
2011-2012,SN_STA_UWGT3,PT,Y0T4,4.6
2011-2012,SN_STA_UWGT,PT,Y0T4,9.9
