Year,SERIES,UNIT_MEASURE,Године,Value
2011-2012,Удио дјеце са умјереном или озбиљном прекомјерном тјелесном тежином,Проценат,Испод 5 година,17.7
2011-2012,SN_STA_UWGT3,Проценат,Испод 5 година,4.6
2011-2012,SN_STA_UWGT,Проценат,Испод 5 година,9.9
