Year,SERIES,UNIT_MEASURE,SORT,Value
2013,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,57.4
2014,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,60.4
2015,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,63.5
2016,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,64.8
2017,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,65.3
2018,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,67.1
2019,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,71.2
2020,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,71.3
2021,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,70.9
2022,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,,71.9
2013,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.012
2014,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.072
2015,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.133
2016,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.161
2017,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.172
2018,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.207
2019,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.281
2020,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.285
2021,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.27
2022,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,_T,1.284
2013,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,32.9
2014,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,32.2
2015,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,31.2
2016,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,30.7
2017,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,30.8
2018,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,30.5
2019,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,29.6
2020,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,29.5
2021,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,29.4
2022,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_FBIH,28.5
2013,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.5
2014,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.8
2015,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,2.0
2016,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.2
2017,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.2
2018,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.4
2019,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.5
2020,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.6
2021,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.6
2022,Број филијала комерцијалних банака на 100.000 одраслих,Број,BANKS_RS_FBIH,1.6
2013,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,34.4
2014,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,34.0
2015,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,33.2
2016,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,32.0
2017,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,32.0
2018,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,31.9
2019,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,31.1
2020,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,31.0
2021,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,31.0
2022,Број филијала комерцијалних банака на 100.000 одраслих,Број,_T,30.1
2013,FB_CBK_TOT,Број,BANKS_FBIH,580.0
2014,FB_CBK_TOT,Број,BANKS_FBIH,571.0
2015,FB_CBK_TOT,Број,BANKS_FBIH,557.0
2016,FB_CBK_TOT,Број,BANKS_FBIH,551.0
2017,FB_CBK_TOT,Број,BANKS_FBIH,553.0
2018,FB_CBK_TOT,Број,BANKS_FBIH,549.0
2019,FB_CBK_TOT,Број,BANKS_FBIH,533.0
2020,FB_CBK_TOT,Број,BANKS_FBIH,531.0
2021,FB_CBK_TOT,Број,BANKS_FBIH,527.0
2022,FB_CBK_TOT,Број,BANKS_FBIH,509.0
2013,FB_CBK_TOT,Број,BANKS_RS_FBIH,27.0
2014,FB_CBK_TOT,Број,BANKS_RS_FBIH,32.0
2015,FB_CBK_TOT,Број,BANKS_RS_FBIH,36.0
2016,FB_CBK_TOT,Број,BANKS_RS_FBIH,22.0
