Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2013.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,12.2
2014.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,12.1
2015.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,12.6
2016.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,13.2
2017.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,14.1
2018.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,14.1
2019.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,13.6
2020.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,14.1
2021.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,15.6
2022.0,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,15.9
2013.0,NV_IND_MANFBDP,Хиљаде,Производња,951.6
2014.0,NV_IND_MANFBDP,Хиљаде,Производња,973.4
2015.0,NV_IND_MANFBDP,Хиљаде,Производња,1065.9
2016.0,NV_IND_MANFBDP,Хиљаде,Производња,1172.2
2017.0,NV_IND_MANFBDP,Хиљаде,Производња,1312.8
2018.0,NV_IND_MANFBDP,Хиљаде,Производња,1415.6
2019.0,NV_IND_MANFBDP,Хиљаде,Производња,1435.6
2020.0,NV_IND_MANFBDP,Хиљаде,Производња,1440.8
2021.0,NV_IND_MANFBDP,Хиљаде,Производња,1818.5
2022.0,NV_IND_MANFBDP,Хиљаде,Производња,2165.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
