Year,SERIES,UNIT_MEASURE,Value
2013.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,308.1
2014.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,571.6
2015.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,812.7
2016.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,1093.1
2017.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,1229.1
2018.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,1224.3
2019.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,1058.9
2020.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,1093.7
2021.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,958.6
2022.0,Истраживачи (у еквиваленту пуног радног времена) на милион становника,На милион становника,1179.5
,,,
