Year,SERIES,UNIT_MEASURE,AGE,Value
2012.0,SH_PRV_SMOK18,PT,Y18T24,58.5
2012.0,SH_PRV_SMOK18,PT,Y25T34,61.2
2012.0,SH_PRV_SMOK18,PT,Y35T44,66.7
2012.0,SH_PRV_SMOK18,PT,Y45T54,60.1
2012.0,SH_PRV_SMOK18,PT,Y55T64,49.4
2012.0,SH_PRV_SMOK18,PT,Y_GE65,30.5
2002.0,SH_PRV_SMOK18,PT,Y25T64,37.6
2012.0,SH_PRV_SMOK18,PT,Y25T64,49.5
,,,,
,,,,
,,,,
,,,,
,,,,
