Year,SERIES,UNIT_MEASURE,SEX,Value
2013.0,VC_IHR_PSRCN,PER_100000_POP,_T,21.0
2014.0,VC_IHR_PSRCN,PER_100000_POP,_T,20.0
2015.0,VC_IHR_PSRCN,PER_100000_POP,_T,26.0
2016.0,VC_IHR_PSRCN,PER_100000_POP,_T,25.0
2017.0,VC_IHR_PSRCN,PER_100000_POP,_T,24.0
2018.0,VC_IHR_PSRCN,PER_100000_POP,_T,19.0
2019.0,VC_IHR_PSRCN,PER_100000_POP,_T,22.0
2020.0,VC_IHR_PSRCN,PER_100000_POP,_T,27.0
2021.0,VC_IHR_PSRCN,PER_100000_POP,_T,17.0
2022.0,VC_IHR_PSRCN,PER_100000_POP,_T,15.0
2013.0,VC_IHR_PSRCN,PER_100000_POP,M,14.0
2014.0,VC_IHR_PSRCN,PER_100000_POP,M,15.0
2015.0,VC_IHR_PSRCN,PER_100000_POP,M,19.0
2016.0,VC_IHR_PSRCN,PER_100000_POP,M,19.0
2017.0,VC_IHR_PSRCN,PER_100000_POP,M,20.0
2018.0,VC_IHR_PSRCN,PER_100000_POP,M,13.0
2019.0,VC_IHR_PSRCN,PER_100000_POP,M,13.0
2020.0,VC_IHR_PSRCN,PER_100000_POP,M,21.0
2021.0,VC_IHR_PSRCN,PER_100000_POP,M,12.0
2022.0,VC_IHR_PSRCN,PER_100000_POP,M,6.0
2013.0,VC_IHR_PSRCN,PER_100000_POP,F,7.0
2014.0,VC_IHR_PSRCN,PER_100000_POP,F,5.0
2015.0,VC_IHR_PSRCN,PER_100000_POP,F,7.0
2016.0,VC_IHR_PSRCN,PER_100000_POP,F,6.0
2017.0,VC_IHR_PSRCN,PER_100000_POP,F,4.0
2018.0,VC_IHR_PSRCN,PER_100000_POP,F,6.0
2019.0,VC_IHR_PSRCN,PER_100000_POP,F,9.0
2020.0,VC_IHR_PSRCN,PER_100000_POP,F,6.0
2021.0,VC_IHR_PSRCN,PER_100000_POP,F,5.0
2022.0,VC_IHR_PSRCN,PER_100000_POP,F,9.0
2013.0,VC_IHR_PSRC,PER_100000_POP,_T,0.9
2014.0,VC_IHR_PSRC,PER_100000_POP,_T,0.9
2015.0,VC_IHR_PSRC,PER_100000_POP,_T,1.2
2016.0,VC_IHR_PSRC,PER_100000_POP,_T,1.1
2017.0,VC_IHR_PSRC,PER_100000_POP,_T,1.1
2018.0,VC_IHR_PSRC,PER_100000_POP,_T,0.9
2019.0,VC_IHR_PSRC,PER_100000_POP,_T,1.0
2020.0,VC_IHR_PSRC,PER_100000_POP,_T,1.2
2021.0,VC_IHR_PSRC,PER_100000_POP,_T,0.8
2022.0,VC_IHR_PSRC,PER_100000_POP,_T,0.7
,,,,
,,,,
,,,,
