Year,SERIES,SEX,Value
2022.0,SE_ADT_MOB,_T,96.1
2023.0,SE_ADT_MOB,_T,96.2
2022.0,SE_ADT_MOB,M,97.0
2023.0,SE_ADT_MOB,M,97.7
2022.0,SE_ADT_MOB,F,95.2
2023.0,SE_ADT_MOB,F,94.8
,,,
