Year,SERIES,UNIT_MEASURE,SORT,Value
2013.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,20.424
2014.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,12.36
2015.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,11.309
2016.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,10.81
2017.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,9.835
2018.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,8.645
2019.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,8.17
2020.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,4.242
2021.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,5.631
2022.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,6.591
2023.0,IS_RDP_TRANS,THOUSANDS,T_PAX_R,6.426
2013.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.304
2014.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.249
2015.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.313
2016.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.339
2017.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.267
2018.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.352
2019.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.43
2020.0,IS_RDP_TRANS,MILLIONS,PAX_KM,545.0
2021.0,IS_RDP_TRANS,MILLIONS,PAX_KM,728.0
2022.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.048
2023.0,IS_RDP_TRANS,MILLIONS,PAX_KM,1.096
2013.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,12.332
2014.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,13.183
2015.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,14.483
2016.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,14.594
2017.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,14.828
2018.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,15.199
2019.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,15.296
2020.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,13.465
2021.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,13.942
2022.0,IS_RDP_TRANS,THOUSAND_TONS,T_GOODS,14.539
