Year,SERIES,UNIT_MEASURE,Value
2004.0,SI_POV_50MI,PT,11.3
2007.0,SI_POV_50MI,PT,9.9
2011.0,SI_POV_50MI,PT,10.0
2015.0,SI_POV_50MI,PT,9.8
2004.0,SI_POV_60MI,PT,18.3
2007.0,SI_POV_60MI,PT,16.3
2011.0,SI_POV_60MI,PT,17.2
2015.0,SI_POV_60MI,PT,16.0
2004.0,SI_POV_70MI,PT,26.1
2007.0,SI_POV_70MI,PT,23.8
2011.0,SI_POV_70MI,PT,25.2
2015.0,SI_POV_70MI,PT,23.6
2004.0,SI_POV_GAP,PT,25.0
2007.0,SI_POV_GAP,PT,25.2
2011.0,SI_POV_GAP,PT,26.6
2015.0,SI_POV_GAP,PT,25.8
2004.0,SI_POV_S80S20,PT,5.9
2007.0,SI_POV_S80S20,PT,5.2
2011.0,SI_POV_S80S20,PT,5.2
2015.0,SI_POV_S80S20,PT,5.2
2011.0,GINI_COEF,PT,31.1
2015.0,GINI_COEF,PT,31.0
,,,
