Year,Value,UNIT_MEASURE,SERIES
2011-2012,9.9,,SN_ITK_GROW
2011-2012,4.6,,SN_ITK_GROWW
2003,0.1,,SN_ITK_DEFCN
2001,3.2,,SN_ITK_DEFC
2002,3.0,,SN_ITK_DEFC
2003,2.6,,SN_ITK_DEFC
2004,2.5,,SN_ITK_DEFC
2005,2.5,,SN_ITK_DEFC
2006,2.5,,SN_ITK_DEFC
2007,2.5,,SN_ITK_DEFC
2008,2.5,,SN_ITK_DEFC
2009,2.5,,SN_ITK_DEFC
2010,2.5,,SN_ITK_DEFC
2011,2.5,,SN_ITK_DEFC
2012,2.5,,SN_ITK_DEFC
2013,2.5,,SN_ITK_DEFC
2014,2.5,,SN_ITK_DEFC
2015,2.5,,SN_ITK_DEFC
2016,2.5,,SN_ITK_DEFC
2017,2.5,,SN_ITK_DEFC
2018,2.5,,SN_ITK_DEFC
2019,2.5,,SN_ITK_DEFC
2020,2.5,,SN_ITK_DEFC
