Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
CERTAIN_B,CERTAIN_B,Određeno opterećenje,CERTAIN_B,CERTAIN_B,1,1
HIGH_B,HIGH_B,Veliko opterećenje,HIGH_B,HIGH_B,1,1
NO_B,NO_B,Nisu opterećeni,NO_B,NO_B,1,1
