Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
C_AUT,C_AUT,Austrija,C_AUT,C_AUT,1,1
C_CRO,C_CRO,Hrvatska,C_CRO,C_CRO,1,1
C_CZE,C_CZE,Češka,C_CZE,C_CZE,1,1
C_GER,C_GER,Njemačka,C_GER,C_GER,1,1
C_ITA,C_ITA,Italija,C_ITA,C_ITA,1,1
C_KOS,C_KOS,Kosovo,C_KOS,C_KOS,1,1
C_MNE,C_MNE,Crna Gora,C_MNE,C_MNE,1,1
C_SLO,C_SLO,Slovenija,C_SLO,C_SLO,1,1
C_SRB,C_SRB,Srbija,C_SRB,C_SRB,1,1
C_TUR,C_TUR,Turska,C_TUR,C_TUR,1,1
OTH,OTH,Ostale,OTH,OTH,1,1
