Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
DIFFICULT,DIFFICULT,Teško i veoma teško,DIFFICULT,DIFFICULT,6,1
EASY,EASY,Lako i veoma lako,EASY,EASY,6,1
NOT_USED,NOT_USED,Usluge se ne koriste,NOT_USED,NOT_USED,6,1
