Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Both sexes or no breakdown by sex,Oba spola ili bez podjele po spolu,Оба пола или без подјеле по полу,Oba spola ili bez podjele po spolu,91,31
_X,Not available,Nije dostupno,Није доступно,Nije dostupno,3,1
F,Female,Žene,Жене,Žene,113,38
M,Male,Muškarci,Мушкарци,Muškarci,92,31
