Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,Укупно,Ukupno,25,6
CITY,City,Grad,Град,Grad,2,2
O,O,Ostalo,O,O,2,2
R,Rural,Ruralno,Рурално,Ruralno,27,7
TSUB,Town and semi-dense area,Mjesto i poluzgusnosto područje,Мјесто и полу-густо подручје,Mjesto i poluzgusnosto područje,1,1
U,Urban,Urbano,Урбано,Urbano,25,6
