Year,Value,UNIT_MEASURE,SERIES
2013,57.4,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2014,60.4,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2015,63.5,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2016,64.8,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2017,65.3,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2018,67.1,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2019,71.2,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2020,71.3,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2021,70.9,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
2022,71.9,Broj,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika
