Year,Value,UNIT_MEASURE,SERIES
2013.0,1.246,Tisuće hektara,AG_STATE_FRST
2014.0,1.247,Tisuće hektara,AG_STATE_FRST
2015.0,1.243,Tisuće hektara,AG_STATE_FRST
2016.0,1.241,Tisuće hektara,AG_STATE_FRST
2017.0,1.241,Tisuće hektara,AG_STATE_FRST
2018.0,1.236,Tisuće hektara,AG_STATE_FRST
2019.0,1.234,Tisuće hektara,AG_STATE_FRST
2020.0,1.234,Tisuće hektara,AG_STATE_FRST
2021.0,1.241,Tisuće hektara,AG_STATE_FRST
2013.0,277.0,Tisuće hektara,AG_PRIV_FRST
2014.0,277.0,Tisuće hektara,AG_PRIV_FRST
2015.0,277.0,Tisuće hektara,AG_PRIV_FRST
2016.0,277.0,Tisuće hektara,AG_PRIV_FRST
2017.0,277.0,Tisuće hektara,AG_PRIV_FRST
2018.0,277.0,Tisuće hektara,AG_PRIV_FRST
2019.0,277.0,Tisuće hektara,AG_PRIV_FRST
2020.0,277.0,Tisuće hektara,AG_PRIV_FRST
2021.0,277.0,Tisuće hektara,AG_PRIV_FRST
2014.0,74718.7,HACTARE,AG_PROT
2015.0,79693.5,HACTARE,AG_PROT
2016.0,79693.5,HACTARE,AG_PROT
2017.0,79854.4,HACTARE,AG_PROT
2018.0,79854.4,HACTARE,AG_PROT
2019.0,98621.3,HACTARE,AG_PROT
2020.0,103875.7,HACTARE,AG_PROT
2021.0,103900.0,HACTARE,AG_PROT
,,,
,,,
