Year,Value,UNIT_MEASURE,SERIES
2011-2012,9.9,,SN_ITK_GROW
2011-2012,4.6,,SN_ITK_GROWW
2003,0.1,,Broj pothranjenih ljudi
2001,3.2,,Rasprostranjenost pothranjenosti
2002,3.0,,Rasprostranjenost pothranjenosti
2003,2.6,,Rasprostranjenost pothranjenosti
2004,2.5,,Rasprostranjenost pothranjenosti
2005,2.5,,Rasprostranjenost pothranjenosti
2006,2.5,,Rasprostranjenost pothranjenosti
2007,2.5,,Rasprostranjenost pothranjenosti
2008,2.5,,Rasprostranjenost pothranjenosti
2009,2.5,,Rasprostranjenost pothranjenosti
2010,2.5,,Rasprostranjenost pothranjenosti
2011,2.5,,Rasprostranjenost pothranjenosti
2012,2.5,,Rasprostranjenost pothranjenosti
2013,2.5,,Rasprostranjenost pothranjenosti
2014,2.5,,Rasprostranjenost pothranjenosti
2015,2.5,,Rasprostranjenost pothranjenosti
2016,2.5,,Rasprostranjenost pothranjenosti
2017,2.5,,Rasprostranjenost pothranjenosti
2018,2.5,,Rasprostranjenost pothranjenosti
2019,2.5,,Rasprostranjenost pothranjenosti
2020,2.5,,Rasprostranjenost pothranjenosti
