Year,Value,UNIT_MEASURE,SERIES
2012.0,8.039,Tone,Proizvedeni opasni otpad (tone)
2014.0,6.617,Tone,Proizvedeni opasni otpad (tone)
2016.0,9.726,Tone,Proizvedeni opasni otpad (tone)
2018.0,8.987,Tone,Proizvedeni opasni otpad (tone)
2020.0,5.756,Tone,Proizvedeni opasni otpad (tone)
2012.0,1452.8,KG_PEC_CAP,EN_WT_EXCMIN
2014.0,1616.3,KG_PEC_CAP,EN_WT_EXCMIN
2016.0,2472.6,KG_PEC_CAP,EN_WT_EXCMIN
2018.0,11534.0,KG_PEC_CAP,EN_WT_EXCMIN
2020.0,1543.9,KG_PEC_CAP,EN_WT_EXCMIN
2013.0,284.0,KG_PEC_CAP,EN_WT_ECOMUN
2014.0,296.0,KG_PEC_CAP,EN_WT_ECOMUN
2015.0,296.0,KG_PEC_CAP,EN_WT_ECOMUN
2016.0,290.0,KG_PEC_CAP,EN_WT_ECOMUN
2017.0,284.0,KG_PEC_CAP,EN_WT_ECOMUN
2018.0,284.0,KG_PEC_CAP,EN_WT_ECOMUN
2019.0,291.0,KG_PEC_CAP,EN_WT_ECOMUN
2020.0,280.0,KG_PEC_CAP,EN_WT_ECOMUN
2021.0,282.0,KG_PEC_CAP,EN_WT_ECOMUN
2022.0,284.0,KG_PEC_CAP,EN_WT_ECOMUN
,,,
