Year,SERIES,UNIT_MEASURE,Value
2013.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,308.1
2014.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,571.6
2015.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,812.7
2016.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,1093.1
2017.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,1229.1
2018.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,1224.3
2019.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,1058.9
2020.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,1093.7
2021.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,958.6
2022.0,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,1179.5
,,,
