Year,SERIES,UNIT_MEASURE,Value
2013.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.3
2014.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.8
2015.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.6
2016.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.2
2017.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.8
2018.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.9
2019.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.7
2020.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.8
2021.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.4
2022.0,Rasprostranjenost površinskog antigena hepatitisa B (HBsAg),Na 100 000 stanovnika,0.4
,,,
