Year,SERIES,UNIT_MEASURE,Godine,Value
2011-2012,Udio djece sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom,Postotak,Ispod 5 godina,17.7
2011-2012,SN_STA_UWGT3,Postotak,Ispod 5 godina,4.6
2011-2012,SN_STA_UWGT,Postotak,Ispod 5 godina,9.9
