Year,SERIES,UNIT_MEASURE,Value
2011-2012,SN_ITK_GROW,,9.9
2011-2012,SN_ITK_GROWW,,4.6
2003,Broj pothranjenih ljudi,,0.1
2001,Rasprostranjenost pothranjenosti,,3.2
2002,Rasprostranjenost pothranjenosti,,3.0
2003,Rasprostranjenost pothranjenosti,,2.6
2004,Rasprostranjenost pothranjenosti,,2.5
2005,Rasprostranjenost pothranjenosti,,2.5
2006,Rasprostranjenost pothranjenosti,,2.5
2007,Rasprostranjenost pothranjenosti,,2.5
2008,Rasprostranjenost pothranjenosti,,2.5
2009,Rasprostranjenost pothranjenosti,,2.5
2010,Rasprostranjenost pothranjenosti,,2.5
2011,Rasprostranjenost pothranjenosti,,2.5
2012,Rasprostranjenost pothranjenosti,,2.5
2013,Rasprostranjenost pothranjenosti,,2.5
2014,Rasprostranjenost pothranjenosti,,2.5
2015,Rasprostranjenost pothranjenosti,,2.5
2016,Rasprostranjenost pothranjenosti,,2.5
2017,Rasprostranjenost pothranjenosti,,2.5
2018,Rasprostranjenost pothranjenosti,,2.5
2019,Rasprostranjenost pothranjenosti,,2.5
2020,Rasprostranjenost pothranjenosti,,2.5
